text,label
Bu karardan rezalet.,negative
Odanın kapısı dosya.,neutral
iyi harika bir film.,positive
kötü berbat bir film.,negative
Bugün kitap aldım.,neutral
mükemmel çok beğendim.,positive
başarısız hiç beğenmedim.,negative
Yarın telefon gideceğiz.,neutral
Bu keyifli çok güzeldi.,positive
Bu yorgun çok kötüydü.,negative
Dün belge gördüm.,neutral
Bugün süper hissediyorum.,positive
Bugün korkunç hissediyorum.,negative
Bu kapalı masa üzerinde.,neutral
Hizmetten harika kaldım.,positive
Destekten sıkıcı kaldım.,negative
Bilgileri bilgisayar kaydettim.,neutral
Tasarımı oldukça mutlu.,positive
Tasarımı oldukça üzgün.,negative
Dosyayı rapor gönderdim.,neutral
"Ellerinize muhteşem, çok iyi.",positive
"Zaman kaybı, çok kalitesiz.",negative
Yeni plan henüz gelmedi.,neutral
"Kesinlikle güzel, süper.",positive
"Kesinlikle berbat, rezalet.",negative
İşlemi okul tamamladım.,neutral
Her şey çok başarılı gidiyor.,positive
Her şey çok mutsuz gidiyor.,negative
Haftalık fatura hazırlandı.,neutral
Bu karardan memnun.,positive
Bu karardan rezalet.,negative
Odanın kapısı dosya.,neutral
morelim yok,negative
morelim yok,negative
morelim yok,negative
morelim yok,negative
Bugün korkunç hissediyorum,negative
gayet normal,neutral
normal,neutral
iyi hissetmiyorum,negative
iyi hissetmiyorum,negative
mutlu değilim,negative
güzel görünmüyor,negative
memnun değilim,negative
beğenmedim hiç,negative
hoşlanmıyorum,negative
sevmiyorum bunu,negative
kötü hissediyorum,negative
üzgünüm bugün,negative
mutsuzum çok,negative
iyi sayılmam,negative
iyi değilim,negative
iyi hissetmem,negative
mutlu sayılmam,negative
güzel sayılmaz,negative
başarılı sayılmam,negative
yeterli değilim,negative
iyi olmadım,negative
mutlu olamadım,negative
başaramadım,negative
iyi,positive
çok iyi,positive
gerçekten iyi,positive
oldukça iyi,positive
gayet iyi,positive
iyi gidiyor,positive
iyi oldu,positive
iyi bir deneyim,positive
iyi bir gün,positive
iyi hissediyorum,positive
kendimi iyi hissediyorum,positive
bugün iyi,positive
her şey iyi,positive
durum iyi,positive
sonuç iyi,positive
iyidim sonra kötü oldum,negative
harika ama kötü film,negative
bugün çok iyidi,positive
iyidi bugün,positive
